date,open,high,low,close,volume
2024-10-24 16:01:40.316971,242.54,246.38,242.19,242.88,46884836
2024-10-25 16:01:40.316971,242.89,245.95,238.63,242.66,79782813
2024-10-28 16:01:40.316971,241.62,245.64,239.22,240.42,54434978
2024-10-29 16:01:40.316971,244.99,250.15,243.1,245.03,48730505
2024-10-30 16:01:40.316971,244.24,248.65,241.11,246.66,16088643
2024-10-31 16:01:40.316971,241.65,243.01,238.76,241.87,43078538
2024-11-01 16:01:40.316971,243.83,244.59,240.8,244.08,67564388
2024-11-04 16:01:40.316971,251.92,255.85,249.28,253.08,87471806
2024-11-05 16:01:40.316971,241.85,247.78,240.72,242.86,16037565
2024-11-06 16:01:40.316971,250.47,250.81,247.25,249.13,66778665
2024-11-07 16:01:40.316971,252.81,254.32,248.33,252.36,59977175
2024-11-08 16:01:40.316971,248.72,249.23,246.1,247.39,34871390
2024-11-11 16:01:40.316971,252.26,253.57,249.91,251.27,74818489
2024-11-12 16:01:40.316971,254.56,257.59,251.87,254.65,16178746
2024-11-13 16:01:40.316971,257.56,258.51,256.72,257.08,25054044
2024-11-14 16:01:40.316971,254.3,255.76,248.67,254.43,54747666
2024-11-15 16:01:40.316971,251.35,252.51,250.71,251.97,79510446
2024-11-18 16:01:40.316971,246.86,254.74,246.37,248.63,25108517
2024-11-19 16:01:40.316971,251.4,254.22,250.99,251.94,4815354
2024-11-20 16:01:40.316971,260.73,262.34,253.34,259.15,63793345
2024-11-21 16:01:40.316971,260.57,268.41,258.72,262.56,77764696
2024-11-22 16:01:40.316971,260.41,261.48,257.15,259.99,53414101
2024-11-25 16:01:40.316971,251.7,257.64,250.76,253.33,32523582
2024-11-26 16:01:40.316971,254.91,256.13,253.48,255.8,68459456
2024-11-27 16:01:40.316971,254.63,255.69,250.88,254.16,3869767
2024-11-28 16:01:40.316971,245.08,245.88,238.96,245.17,72922918
2024-11-29 16:01:40.316971,245.03,245.43,242.38,244.34,86917923
2024-12-02 16:01:40.316971,239.68,240.29,239.25,240.19,91655112
2024-12-03 16:01:40.316971,237.82,241.39,234.57,237.81,30655476
2024-12-04 16:01:40.316971,244.41,244.97,243.74,244.76,47409243
2024-12-05 16:01:40.316971,247.54,249.63,246.46,247.8,5291067
2024-12-06 16:01:40.316971,256.11,257.35,252.32,254.84,49890814
2024-12-09 16:01:40.316971,260.84,261.63,257.53,259.97,61778701
2024-12-10 16:01:40.316971,257.05,260.65,256.12,258.79,31684013
2024-12-11 16:01:40.316971,269.18,273.38,268.06,268.46,61597608
2024-12-12 16:01:40.316971,267.44,270.08,264.81,266.09,70813279
2024-12-13 16:01:40.316971,260.38,262.63,255.88,261.1,57040192
2024-12-16 16:01:40.316971,256.99,258.98,256.59,257.46,80968150
2024-12-17 16:01:40.316971,262.6,265.81,260.74,263.51,79599143
2024-12-18 16:01:40.316971,262.16,265.92,259.59,262.74,59314250
2024-12-19 16:01:40.316971,255.76,256.95,255.5,255.92,58987807
2024-12-20 16:01:40.316971,251.44,252.09,250.74,250.92,73405233
2024-12-23 16:01:40.316971,255.86,256.24,252.35,255.77,10990679
2024-12-24 16:01:40.316971,259.33,261.63,257.91,258.73,36131448
2024-12-25 16:01:40.316971,265.3,266.79,262.7,264.53,98984580
2024-12-26 16:01:40.316971,264.89,267.08,263.26,264.53,81119906
2024-12-27 16:01:40.316971,267.79,272.99,260.36,265.33,29228157
2024-12-30 16:01:40.316971,259.91,266.36,255.47,260.57,10020509
2024-12-31 16:01:40.316971,268.25,271.54,263.43,266.16,17286549
2025-01-01 16:01:40.316971,264.11,266.77,263.56,265.9,8854665
2025-01-02 16:01:40.316971,258.29,259.37,257.66,258.79,72207365
2025-01-03 16:01:40.316971,250.32,253.3,245.68,250.3,69790329
2025-01-06 16:01:40.316971,253.31,255.4,251.48,253.76,64803078
2025-01-07 16:01:40.316971,250.65,250.93,246.1,249.52,68557586
2025-01-08 16:01:40.316971,248.46,253.0,247.87,250.98,92421292
2025-01-09 16:01:40.316971,251.55,253.12,251.46,252.38,6509611
2025-01-10 16:01:40.316971,251.61,253.39,248.36,252.59,80118037
2025-01-13 16:01:40.316971,249.27,256.54,248.63,253.83,13152257
2025-01-14 16:01:40.316971,254.78,257.64,253.54,256.55,99408683
2025-01-15 16:01:40.316971,251.0,253.4,248.0,249.17,94288452
2025-01-16 16:01:40.316971,240.95,243.77,240.6,241.58,63518404
2025-01-17 16:01:40.316971,233.87,237.89,230.28,235.49,56674055
2025-01-20 16:01:40.316971,231.43,235.1,227.58,230.63,55984514
2025-01-21 16:01:40.316971,231.85,234.78,225.91,233.99,67896204
2025-01-22 16:01:40.316971,229.37,231.32,226.47,228.29,43517650
2025-01-23 16:01:40.316971,230.19,231.78,228.64,229.06,8297025
2025-01-24 16:01:40.316971,227.47,231.72,224.09,227.67,27417005
2025-01-27 16:01:40.316971,227.05,227.8,224.06,226.79,31957089
2025-01-28 16:01:40.316971,230.64,231.65,226.26,227.95,76741795
2025-01-29 16:01:40.316971,230.09,234.58,229.27,230.02,90599866
2025-01-30 16:01:40.316971,235.56,237.13,229.76,232.96,40325444
2025-01-31 16:01:40.316971,234.35,234.5,230.84,234.06,82155645
2025-02-03 16:01:40.316971,229.9,231.82,227.97,229.79,68852128
2025-02-04 16:01:40.316971,234.54,243.65,231.56,237.32,68181193
2025-02-05 16:01:40.316971,237.33,239.61,237.1,237.69,78960753
2025-02-06 16:01:40.316971,251.03,253.69,248.82,251.01,89146277
2025-02-07 16:01:40.316971,255.96,257.32,253.65,253.77,17530123
2025-02-10 16:01:40.316971,255.16,258.66,252.8,254.29,40392367
2025-02-11 16:01:40.316971,253.84,255.79,252.86,252.88,1022781
2025-02-12 16:01:40.316971,256.85,258.38,254.37,257.11,7094725
2025-02-13 16:01:40.316971,252.01,256.24,250.2,250.69,38970463
2025-02-14 16:01:40.316971,247.21,247.73,242.97,245.42,79346902
2025-02-17 16:01:40.316971,233.45,235.22,231.73,234.06,2633011
2025-02-18 16:01:40.316971,231.76,234.46,231.53,231.81,73087300
2025-02-19 16:01:40.316971,228.31,228.67,227.28,228.56,95035721
2025-02-20 16:01:40.316971,226.54,228.92,224.85,227.18,75444685
2025-02-21 16:01:40.316971,223.49,226.43,220.71,224.77,14629124
2025-02-24 16:01:40.316971,230.45,232.44,226.72,228.97,16142392
2025-02-25 16:01:40.316971,235.63,238.76,233.69,234.98,85006841
2025-02-26 16:01:40.316971,226.59,228.5,224.35,226.71,75854371
2025-02-27 16:01:40.316971,226.13,229.31,222.42,227.67,4833397
